QuestionID,QuestionType,Question,Answer,Selection,True_ANS
Q3-001,Multi-Attribute Query,"Which material in the given list has both LCD > 10 Å and PLD > 5 Å? Given list is: MnH14C15N5O4, ZrP3H20C9(NO3)3, AlPO4, Tb2H15C12(NO4)3.",AlPO4,A. MnH14C15N5O4; B. ZrP3H20C9(NO3)3; C. AlPO4; D. Tb2H15C12(NO4)3,C
Q3-002,Multi-Attribute Query,"Which material in the given list has both LCD > 10 Å and PLD > 5 Å? Given list is: Zr3H11C9O16, Zr13H192(C61O11)6, CuH14C24NO4, Eu2FeH2C4(S2O11)2.",CuH14C24NO4,A. Zr3H11C9O16; B. Zr13H192(C61O11)6; C. CuH14C24NO4; D. Eu2FeH2C4(S2O11)2,C
Q3-003,Multi-Attribute Query,"Which material in the given list has both LCD > 10 Å and PLD > 5 Å? Given list is: CuH12C14BrN6, Cd3H12(C17O9)2, Y23H228C408N12(O71F12)2, ZnH14C24NO4.",ZnH14C24NO4,A. CuH12C14BrN6; B. Cd3H12(C17O9)2; C. Y23H228C408N12(O71F12)2; D. ZnH14C24NO4,D
Q3-004,Multi-Attribute Query,"Which material in the given list has both LCD > 10 Å and PLD > 5 Å? Given list is: ZnH13C20(NO2)2, CoH14C24NO4, In2C6O13, TbH6C14(NO4)2.",CoH14C24NO4,A. ZnH13C20(NO2)2; B. CoH14C24NO4; C. In2C6O13; D. TbH6C14(NO4)2,B
Q3-005,Multi-Attribute Query,"Which material in the given list has both LCD > 10 Å and PLD > 5 Å? Given list is: ZnH8C12(IN2)2, Cu2H44C43(NO7)2, CuH12C20NO5, ZnH17C12Br(NO)2.",Cu2H44C43(NO7)2,A. ZnH8C12(IN2)2; B. Cu2H44C43(NO7)2; C. CuH12C20NO5; D. ZnH17C12Br(NO)2,B
Q3-006,Multi-Attribute Query,"Which material in the given list has both LCD > 10 Å and PLD > 5 Å? Given list is: Al3P3O13F, Cu2H32C37(NO5)2, CoH8C8N5O2, Fe(PO4)2.",Cu2H32C37(NO5)2,A. Al3P3O13F; B. Cu2H32C37(NO5)2; C. CoH8C8N5O2; D. Fe(PO4)2,B
Q3-007,Multi-Attribute Query,"Which material in the given list has both LCD > 10 Å and PLD > 5 Å? Given list is: Zn4H12C42O13, CoH28(C3O)12, Fe3H33C57N3O13, Cu4H40C64N16ClO16.",Cu4H40C64N16ClO16,A. Zn4H12C42O13; B. CoH28(C3O)12; C. Fe3H33C57N3O13; D. Cu4H40C64N16ClO16,D
Q3-008,Multi-Attribute Query,"Which material in the given list has both LCD > 10 Å and PLD > 5 Å? Given list is: CuH5C6N4O, CuH16C25(NO2)2, Zn2Co3B3H117C99N9O20, ZnH3C8O5.",Zn2Co3B3H117C99N9O20,A. CuH5C6N4O; B. CuH16C25(NO2)2; C. Zn2Co3B3H117C99N9O20; D. ZnH3C8O5,C
Q3-009,Multi-Attribute Query,"Which material in the given list has both LCD > 10 Å and PLD > 5 Å? Given list is: NiH16C24(NO2)2, Th22S26O137, NaCr(CO2)6, FeH3(CO2)3.",Th22S26O137,A. NiH16C24(NO2)2; B. Th22S26O137; C. NaCr(CO2)6; D. FeH3(CO2)3,B
Q3-010,Multi-Attribute Query,"Which material in the given list has both LCD > 10 Å and PLD > 5 Å? Given list is: CoH20C20(NO)4, FeH12(C2N3)6, Ni2H60W(C8N5)4, Cu3H17C51N3O20.",Cu3H17C51N3O20,A. CoH20C20(NO)4; B. FeH12(C2N3)6; C. Ni2H60W(C8N5)4; D. Cu3H17C51N3O20,D
